,metric,pearson_corr_with_test_accuracy,spearman_corr_with_test_accuracy
0,param_norm,0.9727165953898814,0.3499695272050116
1,ell_neuron,0.9149924409003493,0.3499695272050116
2,ell_abs,0.9149924229173287,0.3499695272050116
3,sum_alpha2beta2,0.9142188247357176,0.3499695272050116
4,top1_out,0.8845160001647792,0.0359523293033884
5,top1_in,0.6064992760476856,0.21282270458264535
6,ell_abs_norm,0.4722007965367435,0.8596713146716977
7,ell_neuron_norm,0.46716444500952103,0.8596713146716977
8,ell_global,-0.18967537962205092,-0.6175168728951456
9,H_in,-0.3159586495409265,0.4159302663877933
10,ell_global_norm,-0.4403882538576728,-0.6867816751544707
11,H_out,-0.8009711471614165,0.0629805660268294
12,coherence_in_weighted,-0.8066596848658152,-0.8566543359888957
13,coherence_out_weighted,-0.882354477156136,-0.8091369217347669
14,coherence_joint_weighted,-0.920890536482674,-0.860928389122865
15,coherence_mean,-0.9227926218574805,-0.860928389122865
